,dia_semana,horario,mortos,causa_acidente,municipio,tipo_veiculo
17739,segunda-feira,18:40:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,
17740,segunda-feira,17:30:00,0,Pista Escorregadia,SAO JOSE,Motocicleta
17741,segunda-feira,17:30:00,0,Pista Escorregadia,SAO JOSE,Motocicleta
17742,segunda-feira,14:40:00,0,Chuva,MAFRA,Caminhonete
17743,segunda-feira,14:40:00,1,Chuva,MAFRA,Caminhonete
17744,segunda-feira,14:40:00,0,Chuva,MAFRA,
17745,segunda-feira,18:00:00,0,Reação tardia ou ineficiente do condutor,ITAPEMA,Camioneta
17746,segunda-feira,18:00:00,0,Reação tardia ou ineficiente do condutor,ITAPEMA,Camioneta
17747,segunda-feira,18:00:00,0,Reação tardia ou ineficiente do condutor,ITAPEMA,Camioneta
17748,segunda-feira,18:00:00,0,Reação tardia ou ineficiente do condutor,ITAPEMA,Automóvel
17749,segunda-feira,22:20:00,0,Ausência de reação do condutor,RIO NEGRINHO,Automóvel
17750,segunda-feira,22:20:00,0,Ausência de reação do condutor,RIO NEGRINHO,Automóvel
17751,terça-feira,04:40:00,0,Chuva,ITAJAI,Automóvel
17752,terça-feira,07:20:00,0,Acessar a via sem observar a presença dos outros veículos,INDAIAL,Automóvel
17753,terça-feira,07:20:00,0,Acessar a via sem observar a presença dos outros veículos,INDAIAL,Motocicleta
17754,segunda-feira,08:56:00,0,Acessar a via sem observar a presença dos outros veículos,PALHOCA,Motocicleta
17755,terça-feira,11:10:00,0,Acumulo de água sobre o pavimento,CAPIVARI DE BAIXO,Automóvel
17756,terça-feira,10:20:00,0,Velocidade Incompatível,TROMBUDO CENTRAL,Caminhonete
17757,terça-feira,10:20:00,0,Velocidade Incompatível,TROMBUDO CENTRAL,Caminhonete
17758,terça-feira,10:20:00,0,Velocidade Incompatível,TROMBUDO CENTRAL,Caminhonete
17759,terça-feira,10:20:00,0,Velocidade Incompatível,TROMBUDO CENTRAL,Caminhonete
17760,terça-feira,10:20:00,0,Velocidade Incompatível,TROMBUDO CENTRAL,Caminhonete
